epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1200.03,1.82284,2.54039,1.98003,0.48024,0.54617,0.46065,0.14788,2.26913,5.46803,2.5722,0.000411585,0.000411585,0.000411585
2,1274.36,1.81074,1.91496,1.92862,0.29941,0.39104,0.32237,0.13831,2.0048,6.92573,2.42721,0.000777004,0.000777004,0.000777004
3,1355.58,1.87947,1.90761,1.92464,0.38052,0.49471,0.40227,0.14758,2.23177,3.59658,2.65353,0.00109086,0.00109086,0.00109086
4,1434.58,1.83955,1.84432,1.89609,0.57712,0.55213,0.61923,0.24483,1.94097,2.42004,2.06795,0.00101797,0.00101797,0.00101797
5,1519.71,1.78425,1.70361,1.83594,0.5853,0.60516,0.61964,0.25021,1.92865,2.1603,2.09085,0.000940625,0.000940625,0.000940625
6,1602.68,1.77668,1.66783,1.8259,0.71523,0.66394,0.7069,0.31558,1.79714,1.81854,1.88773,0.000863281,0.000863281,0.000863281
7,1690.48,1.81616,1.60534,1.88809,0.63048,0.64058,0.67456,0.29632,1.94608,2.00241,2.06782,0.000785938,0.000785938,0.000785938
8,1768.27,1.80911,1.42679,1.90774,0.71003,0.69174,0.71221,0.30944,1.97475,1.53433,2.05135,0.000708594,0.000708594,0.000708594
9,1845.34,1.7629,1.38487,1.87842,0.75097,0.74437,0.78798,0.36565,1.82795,1.27441,1.85846,0.00063125,0.00063125,0.00063125
10,1927.56,1.73977,1.32349,1.84454,0.69765,0.76824,0.8198,0.39241,1.79932,1.16903,1.85485,0.000553906,0.000553906,0.000553906
11,2017.79,1.72197,1.18079,1.80123,0.81976,0.81852,0.86307,0.4184,1.73239,1.07175,1.80386,0.000476562,0.000476562,0.000476562
12,2103.85,1.68084,1.14842,1.77903,0.80479,0.77147,0.83218,0.40922,1.75111,1.10421,1.80106,0.000399219,0.000399219,0.000399219
13,2182.3,1.63641,1.10394,1.74867,0.82225,0.83152,0.86395,0.4368,1.72024,1.00458,1.82179,0.000321875,0.000321875,0.000321875
14,2267.68,1.60958,1.05277,1.73139,0.80785,0.85474,0.88016,0.45486,1.67201,0.98316,1.75466,0.000244531,0.000244531,0.000244531
15,2352.75,1.57588,0.96736,1.69409,0.83257,0.8713,0.89245,0.45479,1.70541,0.93416,1.77779,0.000167188,0.000167188,0.000167188
16,2429.09,1.53063,0.9273,1.67229,0.84934,0.84202,0.87886,0.45307,1.66624,0.93332,1.76003,8.98437e-05,8.98437e-05,8.98437e-05
