epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,145.742,0.69332,6.00447,0.6839,0.42753,0.59171,0.49908,0.23005,0.50037,1.02248,0.69102,0.000413851,0.000413851,0.000413851
2,281.45,0.59407,0.82768,0.61284,0.59445,0.45449,0.46228,0.18804,0.53161,1.40777,0.72851,0.000789407,0.000789407,0.000789407
3,418.819,0.56197,0.85671,0.57569,0.52967,0.3646,0.34213,0.1506,0.5876,1.33032,0.80703,0.00112371,0.00112371,0.00112371
4,556.181,0.55268,0.87125,0.56079,0.60846,0.61906,0.61817,0.27166,0.54631,0.9177,0.79047,0.00106437,0.00106437,0.00106437
5,707.301,0.54277,0.84005,0.5533,0.6526,0.64649,0.6912,0.31176,0.5401,0.85422,0.78543,0.0010025,0.0010025,0.0010025
6,852.442,0.52986,0.81624,0.51857,0.68082,0.58392,0.63765,0.26886,0.55613,0.9059,0.81483,0.000940625,0.000940625,0.000940625
7,992.301,0.52896,0.80763,0.53996,0.74726,0.75716,0.77692,0.33708,0.54975,0.71484,0.79595,0.00087875,0.00087875,0.00087875
8,1141.02,0.5022,0.7716,0.50552,0.79607,0.72684,0.77258,0.3127,0.57866,0.74347,0.87277,0.000816875,0.000816875,0.000816875
9,1273.93,0.51991,0.72003,0.52099,0.72068,0.77794,0.7883,0.34923,0.5554,0.69776,0.82178,0.000755,0.000755,0.000755
10,1421.96,0.5072,0.70208,0.49721,0.83447,0.79798,0.84581,0.37754,0.5343,0.68201,0.79613,0.000693125,0.000693125,0.000693125
11,1568.8,0.49967,0.61679,0.64612,0.80957,0.76269,0.77758,0.32568,0.58557,0.66626,0.88353,0.00063125,0.00063125,0.00063125
12,1709.89,0.47599,0.59906,0.61623,0.83786,0.79782,0.84906,0.38253,0.55701,0.55291,0.87852,0.000569375,0.000569375,0.000569375
13,1855.59,0.47282,0.55886,0.61887,0.77422,0.76223,0.79807,0.36188,0.55347,0.61358,0.81286,0.0005075,0.0005075,0.0005075
14,1991.74,0.45651,0.57053,0.58791,0.84059,0.81978,0.85496,0.37887,0.57498,0.55753,0.87434,0.000445625,0.000445625,0.000445625
15,2127.46,0.4539,0.53422,0.58412,0.85094,0.86164,0.88394,0.40606,0.54334,0.55016,0.83101,0.00038375,0.00038375,0.00038375
16,2276.01,0.4438,0.5057,0.55816,0.85504,0.84358,0.88889,0.39213,0.5676,0.54859,0.87445,0.000321875,0.000321875,0.000321875
17,2412.9,0.43685,0.49136,0.55075,0.88785,0.83464,0.87311,0.39689,0.55488,0.53064,0.86159,0.00026,0.00026,0.00026
18,2550.87,0.4324,0.4975,0.54898,0.86901,0.86645,0.88666,0.41796,0.54008,0.54959,0.83036,0.000198125,0.000198125,0.000198125
19,2700.45,0.41278,0.48266,0.51657,0.88891,0.84791,0.88429,0.40582,0.54873,0.51987,0.83924,0.00013625,0.00013625,0.00013625
20,2836.57,0.41011,0.47031,0.51736,0.87389,0.85269,0.87779,0.41206,0.54137,0.51594,0.82889,7.4375e-05,7.4375e-05,7.4375e-05
